en	phntc	id	ati
abandon	ə@bændən	1	@-a@b-e@d-en
abash	ə@bæʃ	2	@-a@b-e@sh-
abate	ə@beit	3	@-a@b-ei@t-
abbreviate	ə@bri:vieit	4	@-a@b-@rw-ei@v-@t-
abdicate	æbdikeit	5	@-e@b-@d-ei@k-ei@t-
aberrant	æ@berənt	6	@-e@b-e@rw-en@t-
aberration	æbə@reiʃən	7	@-e@b-a@rw-ei@sh-en
abet	ə@bet	8	@-a@b-e@t-
abeyance	ə@beiəns	9	@-a@b-ei@-en@s-
abhor	əb@hɔ:	10	@-a@b-@h-eo
abhorrent	əb@hɔrənt	11	@-a@b-@h-eo@rw-en@t-
abide	ə@baid	12	@-a@b-ai@d-
abject	æbdʒekt	13	@-e@b-@d-@r-e@k-@t-
abjure	əb@dʒuə	14	@-a@b-@d-@r-o
ablution	ə@blu:ʃən	15	@-a@b-@l-u@sh-en
abnegate	æbniɡeit	16	@-e@b-ei@-ei@t-
abolish	ə@bɔliʃ	17	@-a@b-eo@l-ei@sh-
abolition	æbə@liʃən	18	@-e@b-a@l-ei@sh-en
abominate	ə@bɔmineit	19	@-a@b-eo@-@-ei@t-
aboveboard	ə@bʌv@bɔ:d	20	@-a@b-a@v-@b-eo@d-
abrade	ə@breid	21	@-a@b-@rw-ei@d-
abrasion	ə@breiʒən	22	@-a@b-@rw-ei@r-en
abrasive	ə@breisiv	23	@-a@b-@rw-ei@s-ei@v-
abreast	ə@brest	24	@-a@b-@rw-e@s-@t-
abridge	ə@bridʒ	25	@-a@b-@rw-ei@d-@r-
abrogate	æbrəuɡeit	26	@-e@b-@rw-eu@-ei@t-
abscission	æb@siʒən	27	@-e@b-@s-ei@r-en
abscond	əb@skɔnd	28	@-a@b-@s-@k-@d-
absenteeism	æbsən@ti:iz(ə)m	29	@-e@b-@s-en@t-ei@-ei@z-@-a@-@-
absolute	æbsəlu:t	30	@-e@b-@s-a@l-u@t-
absolve	əb@zɔlv	31	@-a@b-@z-eo@l-@v-
absorb	əb@sɔ:b	32	@-a@b-@s-eo@b-
abstain	əb@stein	33	@-a@b-@s-@t-
abstemious	æb@sti:mjəs	34	@-e@b-@s-@t-ei@-@y-a@s-
abstention	æb@stenʃən	35	@-e@b-@s-@t-@sh-en
abstentious	əb@stenʃəs	36	@-a@b-@s-@t-@sh-a@s-
abstract	æbstrækt	37	@-e@b-@s-@t-@rw-e@k-@t-
abstruse	æb@stru:s	38	@-e@b-@s-@t-@rw-u@s-
absurd	əb@sə:d	39	@-a@b-@s-a@d-
abundance	ə@bʌndəns	40	@-a@b-@d-en@s-
abundant	ə@bʌndənt	41	@-a@b-@d-en@t-
