en	phntc	id	ati	cc
abandon	ə@bændən	1	@-a@b-e@d-en	啊掰灯
abash	ə@bæʃ	2	@-a@b-e@sh-	啊掰什
abate	ə@beit	3	@-a@b-ei@t-	啊杯nonex
abbreviate	ə@bri:vieit	4	@-a@b-@rw-ei@v-@t-	啊不锐nonexnonex
abdicate	æbdikeit	5	@-e@b-@d-ei@k-ei@t-	鳄不nonexnonexnonex
aberrant	æ@berənt	6	@-e@b-e@rw-en@t-	鳄掰nonexnonex
aberration	æbə@reiʃən	7	@-e@b-a@rw-ei@sh-en	鳄八锐申
abet	ə@bet	8	@-a@b-e@t-	啊掰nonex
abeyance	ə@beiəns	9	@-a@b-ei@-en@s-	啊杯nonex嘶
abhor	əb@hɔ:	10	@-a@b-@h-eo	啊不夯
abhorrent	əb@hɔrənt	11	@-a@b-@h-eo@rw-en@t-	啊不夯nonexnonex
abide	ə@baid	12	@-a@b-ai@d-	啊摆的
abject	æbdʒekt	13	@-e@b-@d-@r-e@k-@t-	鳄不的然磕nonex
abjure	əb@dʒuə	14	@-a@b-@d-@r-o	啊不的若
ablution	ə@blu:ʃən	15	@-a@b-@l-u@sh-en	啊不nonex申
abnegate	æbniɡeit	16	@-e@b-ei@-ei@t-	鳄杯nonexnonex
abolish	ə@bɔliʃ	17	@-a@b-eo@l-ei@sh-	啊邦雷什
abolition	æbə@liʃən	18	@-e@b-a@l-ei@sh-en	鳄八雷申
abominate	ə@bɔmineit	19	@-a@b-eo@-@-ei@t-	啊邦nonexnonex
aboveboard	ə@bʌv@bɔ:d	20	@-a@b-a@v-@b-eo@d-	啊八nonex邦的
abrade	ə@breid	21	@-a@b-@rw-ei@d-	啊不锐的
abrasion	ə@breiʒən	22	@-a@b-@rw-ei@r-en	啊不锐人
abrasive	ə@breisiv	23	@-a@b-@rw-ei@s-ei@v-	啊不锐nonexnonex
abreast	ə@brest	24	@-a@b-@rw-e@s-@t-	啊不软嘶nonex
abridge	ə@bridʒ	25	@-a@b-@rw-ei@d-@r-	啊不锐的nonex
abrogate	æbrəuɡeit	26	@-e@b-@rw-eu@-ei@t-	鳄不nonexnonexnonex
abscission	æb@siʒən	27	@-e@b-@s-ei@r-en	鳄不nonex人
abscond	əb@skɔnd	28	@-a@b-@s-@k-@d-	啊不嘶磕的
absenteeism	æbsən@ti:iz(ə)m	29	@-e@b-@s-en@t-ei@-ei@z-@-a@-@-	鳄不森nonexnonexnonex啊
absolute	æbsəlu:t	30	@-e@b-@s-a@l-u@t-	鳄不刹nonexnonex
absolve	əb@zɔlv	31	@-a@b-@z-eo@l-@v-	啊不藏了nonex
absorb	əb@sɔ:b	32	@-a@b-@s-eo@b-	啊不桑不
abstain	əb@stein	33	@-a@b-@s-@t-	啊不嘶nonex
abstemious	æb@sti:mjəs	34	@-e@b-@s-@t-ei@-@y-a@s-	鳄不嘶nonex丫嘶
abstention	æb@stenʃən	35	@-e@b-@s-@t-@sh-en	鳄不嘶nonex申
abstentious	əb@stenʃəs	36	@-a@b-@s-@t-@sh-a@s-	啊不嘶nonex霎嘶
abstract	æbstrækt	37	@-e@b-@s-@t-@rw-e@k-@t-	鳄不嘶nonex软磕nonex
abstruse	æb@stru:s	38	@-e@b-@s-@t-@rw-u@s-	鳄不嘶nonexnonex嘶
absurd	əb@sə:d	39	@-a@b-@s-a@d-	啊不刹的
abundance	ə@bʌndəns	40	@-a@b-@d-en@s-	啊不灯嘶
abundant	ə@bʌndənt	41	@-a@b-@d-en@t-	啊不灯nonex
abuse	ə@bju:z	42	@-a@b-@y-u@z-	啊不豫nonex
abusive	ə@bju:siv	43	@-a@b-@y-u@s-ei@v-	啊不豫nonexnonex
abut	ə@bʌt	44	@-a@b-a@t-	啊八nonex
abysmal	ə@bizməl	45	@-a@b-ei@z-@-a@l-	啊杯nonex啊了
academic	ækə@demik	46	@-e@k-a@d-e@-ei@k-	鳄劾丹nonex磕
academician	ə@kædə@miʃən	47	@-a@k-e@d-a@-ei@sh-en	啊刊搭nonex申
accede	æk@si:d	48	@-e@k-@s-ei@d-	鳄磕nonex的
accelerate	æk@seləreit	49	@-e@k-@s-e@l-a@rw-ei@t-	鳄磕三垃锐nonex
accentuate	æk@sentjueit	50	@-e@k-@s-@t-@y-u@-ei@t-	鳄磕嘶nonex豫nonexnonex
access	ækses	51	@-e@k-@s-e@s-	鳄磕三嘶
accessible	ək@sesəbl	52	@-a@k-@s-e@s-a@b-@l-	啊磕三刹不了
accessory	æk@sesəri	53	@-e@k-@s-e@s-a@rw-ei	鳄磕三刹锐
acclaim	ə@kleim	54	@-a@k-@l-ei@-	啊磕雷
acclimate	ə@klaimit	55	@-a@k-@l-ai@-ei@t-	啊磕来nonexnonex
accolade	ækəleid	56	@-e@k-a@l-ei@d-	鳄劾雷的
accommodate	ə@kɔmədeit	57	@-a@k-eo@-a@d-ei@t-	啊侃啊nonexnonex
accommodating	ə@kɔmədeitiŋ	58	@-a@k-eo@-a@d-ei@t-ei@ng-	啊侃啊nonexnonexnonex
accompany	ə@kʌmpəni	59	@-a@k-a@-@p-en@-ei	啊劾喷nonex
accomplice	ə@kɔmplis	60	@-a@k-eo@-@p-@l-ei@s-	啊侃扑雷嘶
accomplish	ə@kɔmpliʃ	61	@-a@k-eo@-@p-@l-ei@sh-	啊侃扑雷什
accomplished	ə@kɔmpliʃt	62	@-a@k-eo@-@p-@l-ei@sh-@t-	啊侃扑雷什nonex
accord	ə@kɔ:d	63	@-a@k-eo@d-	啊侃的
accost	ə@kɔst	64	@-a@k-eo@s-@t-	啊侃嘶nonex
accountability	ə@kautə@biliti	65	@-a@k-ao@t-a@b-ei@l-ei@t-ei	啊考他杯雷nonex
accrete	æ@kri:t	66	@-e@k-@rw-ei@t-	鳄磕锐nonex
accretion	æ@kri:ʃən	67	@-e@k-@rw-ei@sh-en	鳄磕锐申
accrue	ə@kru:	68	@-a@k-@rw-u	啊磕nonex
accumulate	ə@kju:mjuleit	69	@-a@k-@y-u@-@y-u@l-ei@t-	啊磕豫豫雷nonex
accuracy	ækjurəsi	70	@-e@k-@y-u@rw-a@s-ei	鳄磕豫若nonex
accurate	ækjurit	71	@-e@k-@y-u@rw-ei@t-	鳄磕豫锐nonex
accuse	ə@kju:z	72	@-a@k-@y-u@z-	啊磕豫nonex
acerbic	ə@sə:bik	73	@-a@s-a@b-ei@k-	啊刹杯磕
acknowledge	ək@nɔlidʒ	74	@-a@k-eo@l-ei@d-@r-	啊侃雷的nonex
acme	ækmi	75	@-e@k-@-ei	鳄磕nonex
acolyte	ækəlait	76	@-e@k-a@l-ai@t-	鳄劾来nonex
acorn	eikɔ:n	77	@-ei@k-	nonex磕
acoustic	ə@ku:stik	78	@-a@k-u@s-@t-ei@k-	啊枯嘶nonex磕
acquaint	ə@kweint	79	@-a@k-@v-@t-	啊磕nonexnonex
acquaintance	ə@kweintəns	80	@-a@k-@v-@t-en@s-	啊磕nonex疼嘶
acquainted	ə@kweintid	81	@-a@k-@v-@t-ei@d-	啊磕nonexnonex的
acquiesce	ækwi@es	82	@-e@k-@v-ei@-e@s-	鳄磕危鳄嘶
acquired	ə@kwaiəd	83	@-a@k-@v-ai@-a@d-	啊磕歪啊的
acquisitive	ə@kwizitiv	84	@-a@k-@v-ei@z-ei@t-ei@v-	啊磕危贼nonexnonex
acquit	ə@kwit	85	@-a@k-@v-ei@t-	啊磕危nonex
acquittal	ə@kwit(ə)l	86	@-a@k-@v-ei@t-@-a@-@l-	啊磕危nonex啊了
acrid	ækrid	87	@-e@k-@rw-ei@d-	鳄磕锐的
acrimonious	ækri@məunjəs	88	@-e@k-@rw-ei@-@y-a@s-	鳄磕锐丫嘶
acrimony	ækriməni	89	@-e@k-@rw-ei@-en@-ei	鳄磕锐nonexnonex
acrobat	ækrəbæt	90	@-e@k-@rw-a@b-e@t-	鳄磕若掰nonex
acrophobia	ækrəu@fəubjə	91	@-e@k-@rw-eu@f-eu@b-@y-a	鳄磕nonex否不丫
acuity	ə@kjuiti	92	@-a@k-@y-u@-ei@t-ei	啊磕豫nonexnonex
acumen	ə@kju:mən	93	@-a@k-@y-u@-en	啊磕豫nonex
acute	ə@kju:t	94	@-a@k-@y-u@t-	啊磕豫nonex
adage	ædidʒ	95	@-e@d-ei@d-@r-	鳄nonex的nonex
adamant	ædəmənt	96	@-e@d-a@-en@t-	鳄搭nonexnonex
adapt	ə@dæpt	97	@-a@d-e@p-@t-	啊丹扑nonex
adaptable	ə@dæptəbl	98	@-a@d-e@p-@t-a@b-@l-	啊丹扑他不了
addendum	ə@dendəm	99	@-a@d-@d-a@-	啊的搭
addict	ə@dikt	100	@-a@d-ei@k-@t-	啊nonex磕nonex
addition	ə@diʃən	101	@-a@d-ei@sh-en	啊nonex申
additive	æditiv	102	@-e@d-ei@t-ei@v-	鳄nonexnonexnonex
address	ə@dres	103	@-a@d-@rw-e@s-	啊的软嘶
adept	ædept	104	@-e@d-e@p-@t-	鳄丹扑nonex
adequate	ædikwit	105	@-e@d-ei@k-@v-ei@t-	鳄nonex磕危nonex
adhere	əd@hiə	106	@-a@d-@h-ei	啊的嘿
adherent	əd@hiərənt	107	@-a@d-@h-ei@rw-en@t-	啊的嘿nonexnonex
adhesive	əd@hi:siv	108	@-a@d-@h-ei@s-ei@v-	啊的嘿nonexnonex
adjacent	ə@dʒeisənt	109	@-a@d-@r-ei@s-en@t-	啊的nonex森nonex
adjourn	ə@dʒə:n	110	@-a@d-@r-	啊的nonex
adjunct	ædʒʌŋkt	111	@-e@d-@r-a@ng-@k-@t-	鳄的热nonex磕nonex
adjust	ə@dʒʌst	112	@-a@d-@r-a@s-@t-	啊的热嘶nonex
admire	əd@maiə	113	@-a@d-@-ai@-a	啊的哎啊
admission	əd@miʃən	114	@-a@d-@-ei@sh-en	啊的nonex申
admonish	əd@mɔniʃ	115	@-a@d-@-@-ei@sh-	啊的nonex什
adobe	ə@dəubi	116	@-a@d-eu@b-ei	啊都杯
adolescent	ædəu@lesnt	117	@-e@d-eu@l-e@s-@t-	鳄都兰嘶nonex
adopt	ə@dɔpt	118	@-a@d-eo@p-@t-	啊当扑nonex
adore	ə@dɔ:	119	@-a@d-eo	啊当
adorn	ə@dɔ:n	120	@-a@d-	啊的
adroit	ə@drɔit	121	@-a@d-@rw-eo@t-	啊的nonexnonex
adulate	ædjuleit	122	@-e@d-@y-u@l-ei@t-	鳄的豫雷nonex
adulterate	ə@dʌltəreit	123	@-a@d-a@l-@t-a@rw-ei@t-	啊搭了他锐nonex
adumbrate	ædʌm@breit	124	@-e@d-a@-@b-@rw-ei@t-	鳄搭不锐nonex
advent	ædvənt	125	@-e@d-@v-en@t-	鳄的温nonex
adventitious	ædven@tiʃəs	126	@-e@d-@v-@t-ei@sh-a@s-	鳄的nonexnonex霎嘶
adverse	ædvə:s	127	@-e@d-@v-a@s-	鳄的戍嘶
advertise	ædvətaiz	128	@-e@d-@v-a@t-ai@z-	鳄的戍胎nonex
advisable	əd@vaizəbl	129	@-a@d-@v-ai@z-a@b-@l-	啊的歪伸不了
advocacy	ædvəkəsi	130	@-e@d-@v-a@k-a@s-ei	鳄的戍劾nonex
