stknum	id	char
1	1812	一
2	1817	丁
2	1818	七
3	1839	万
3	1840	丈
3	1841	三
3	1854	上
3	8432	上
3	1855	下
4	1901	不
4	1916	与
4	1917	丐
4	1918	丑
4	1919	专
5	2038	且
5	2039	丕
5	2040	世
5	2041	丘
5	2042	丙
5	2043	业
5	2044	丛
5	2045	东
5	2046	丝
5	2052	丞
6	2241	丢
7	2586	两
7	2587	严
8	3118	丧
1	1813	丨
3	1856	个
3	1857	丫
4	1920	中
4	1921	丰
7	2588	串
9	3794	临
1	1814	丶
3	1858	丸
4	1922	丹
4	1923	为
5	2047	主
7	2589	丽
9	3795	举
1	1815	丿
2	1819	乃
3	1859	久
3	1860	乇
3	1861	么
3	1862	义
4	1924	之
4	1925	乌
5	2048	乍
5	2049	乎
5	2050	乏
5	2051	乐
6	2242	乒
6	2243	乓
6	2244	乔
8	3119	乖
10	4549	乘
1	1816	乙
2	1820	乜
2	1821	九
3	1863	乞
3	1864	也
3	1865	习
3	1866	乡
4	1926	书
6	2245	乩
6	2246	买
7	2590	乱
8	3120	乳
11	5281	乾
2	1822	了
4	1927	予
6	2256	争
8	3121	事
2	1823	二
19	8427	二
3	1867	亍
3	1868	于
3	1869	亏
4	1928	云
4	1929	互
4	1930	亓
4	1931	五
4	1932	井
6	2257	亘
6	2258	亚
8	3122	些
8	3123	亟
3	1870	亡
4	1933	亢
6	2259	交
6	2260	亥
6	2261	亦
6	2262	产
7	2591	亨
7	2601	亩
8	3124	享
8	3125	京
9	3796	亭
9	3797	亮
9	3798	亲
10	4550	亳
12	5977	亵
2	1824	人
3	1871	亿
4	1934	什
4	1935	仁
4	1936	仂
4	1937	仃
4	1938	仄
4	1939	仅
4	1940	仆
4	1941	仇
4	1942	仉
4	1943	今
4	1944	介
4	1945	仍
4	1946	从
4	1947	仑
4	1948	仓
5	2053	仔
5	2054	仕
5	2055	他
5	2056	仗
5	2057	付
5	2058	仙
5	2059	仝
5	2060	仞
5	2061	仟
5	2062	仡
5	2063	代
5	2064	令
5	2065	以
19	8431	以
5	2066	仨
5	2067	仪
5	2068	仫
5	2069	们
6	2263	仰
6	2264	仲
6	2265	仳
6	2266	仵
6	2267	件
6	2268	价
6	2269	任
6	2270	份
6	2271	仿
6	2272	企
6	2273	伉
6	2274	伊
6	2275	伍
6	2276	伎
6	2277	伏
6	2278	伐
6	2279	休
6	2280	众
6	2281	优
6	2282	伙
6	2283	会
6	2284	伛
6	2285	伞
6	2286	伟
6	2287	传
6	2288	伢
6	2289	伤
6	2290	伥
6	2291	伦
6	2292	伧
6	2293	伪
6	2294	伫
7	2602	伯
7	2603	估
7	2604	伲
7	2605	伴
7	2606	伶
7	2607	伸
7	2608	伺
7	2609	似
7	2610	伽
7	2611	佃
7	2612	但
7	2613	位
7	2614	低
7	2615	住
7	2616	佐
7	2617	佑
7	2618	体
7	2619	何
7	2620	佗
7	2621	佘
7	2622	余
7	2623	佚
7	2624	佛
7	2625	作
7	2626	佝
7	2627	佞
7	2628	佟
7	2629	你
7	2630	佣
6	2295	佤
7	2631	佥
7	2632	佧
8	3126	佩
8	3127	佬
8	3128	佯
8	3129	佰
8	3130	佳
8	3131	佴
8	3132	佶
8	3133	佻
8	3134	佼
8	3135	佾
8	3136	使
8	3137	侃
8	3138	侄
8	3139	侈
8	3140	侉
8	3141	例
8	3142	侍
8	3143	侏
8	3144	侑
8	3145	侔
8	3146	侗
8	3147	供
8	3148	依
8	3149	侠
8	3150	侣
8	3151	侥
8	3152	侦
8	3153	侧
8	3154	侨
8	3155	侩
8	3156	侪
8	3157	侬
9	3799	侮
9	3800	侯
9	3801	侵
9	3802	便
9	3803	促
9	3804	俄
9	3805	俅
9	3806	俊
